date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,-50.531,2000-01-07,38.5211,2000-01-07,51662800,2000-01-07,378.87799,2000-01-07,-0.165,2000-01-07,13935.6061,2000-01-07,0.0,2000-01-07,176.928,2000-01-07,-46.519
2000-01-14,-50.531,2000-01-14,42.6121,2000-01-14,36098600,2000-01-14,378.87799,2000-01-14,-0.165,2000-01-14,15415.5982,2000-01-14,0.0,2000-01-14,176.928,2000-01-14,-46.519
2000-01-21,-50.531,2000-01-21,39.6012,2000-01-21,17867200,2000-01-21,378.87799,2000-01-21,-0.165,2000-01-21,14326.324,2000-01-21,0.0,2000-01-21,176.928,2000-01-21,-46.519
2000-01-28,-50.531,2000-01-28,30.2409,2000-01-28,25737200,2000-01-28,378.87799,2000-01-28,-0.165,2000-01-28,10940.102,2000-01-28,0.0,2000-01-28,176.928,2000-01-28,-46.519
2000-02-04,42.966,2000-02-04,36.4538,2000-02-04,25870000,2000-02-04,378.87799,2000-02-04,0.145,2000-02-04,13118.6504,2000-02-04,0.0,2000-02-04,425.499,2000-02-04,154.007
2000-02-11,42.966,2000-02-11,32.1109,2000-02-11,24183000,2000-02-11,378.87799,2000-02-11,0.145,2000-02-11,11555.7787,2000-02-11,0.0,2000-02-11,425.499,2000-02-11,154.007
2000-02-18,42.966,2000-02-18,32.2096,2000-02-18,28663400,2000-02-18,378.87799,2000-02-18,0.145,2000-02-18,11591.2985,2000-02-18,0.0,2000-02-18,425.499,2000-02-18,154.007
2000-02-25,42.966,2000-02-25,30.8278,2000-02-25,65705200,2000-02-25,378.87799,2000-02-25,0.145,2000-02-25,11094.0212,2000-02-25,0.0,2000-02-25,425.499,2000-02-25,154.007
2000-03-03,42.966,2000-03-03,27.8338,2000-03-03,59663600,2000-03-03,378.87799,2000-03-03,0.145,2000-03-03,10016.5869,2000-03-03,0.0,2000-03-03,425.499,2000-03-03,154.007
2000-03-10,42.966,2000-03-10,30.762,2000-03-10,41531000,2000-03-10,378.87799,2000-03-10,0.145,2000-03-10,11070.3413,2000-03-10,0.0,2000-03-10,425.499,2000-03-10,154.007
2000-03-17,42.966,2000-03-17,28.6892,2000-03-17,38657400,2000-03-17,402.186,2000-03-17,0.145,2000-03-17,10959.5686,2000-03-17,0.0,2000-03-17,425.499,2000-03-17,154.007
2000-03-24,42.966,2000-03-24,31.4529,2000-03-24,43542800,2000-03-24,402.186,2000-03-24,0.145,2000-03-24,12015.3069,2000-03-24,0.0,2000-03-24,425.499,2000-03-24,154.007
2000-03-31,42.966,2000-03-31,28.6234,2000-03-31,29365400,2000-03-31,402.186,2000-03-31,0.145,2000-03-31,10934.432,2000-03-31,0.0,2000-03-31,425.499,2000-03-31,154.007
2000-04-07,42.966,2000-04-07,26.4849,2000-04-07,25173600,2000-04-07,402.186,2000-04-07,0.145,2000-04-07,10117.4917,2000-04-07,0.0,2000-04-07,425.499,2000-04-07,154.007
2000-04-14,42.966,2000-04-14,16.8451,2000-04-14,61627800,2000-04-14,402.186,2000-04-14,0.145,2000-04-14,6434.9761,2000-04-14,0.0,2000-04-14,425.499,2000-04-14,154.007
2000-04-21,42.966,2000-04-21,18.4243,2000-04-21,30352000,2000-04-21,402.186,2000-04-21,0.145,2000-04-21,7038.2551,2000-04-21,0.0,2000-04-21,425.499,2000-04-21,154.007
2000-04-28,154.361,2000-04-28,17.8202,2000-04-28,34580800,2000-04-28,402.186,2000-04-28,0.735,2000-04-28,7226.7798,2000-04-28,0.0,2000-04-28,329.139,2000-04-28,108.722
2000-05-05,154.361,2000-05-05,17.1694,2000-05-05,23631600,2000-05-05,402.186,2000-05-05,0.735,2000-05-05,6962.8452,2000-05-05,0.0,2000-05-05,329.139,2000-05-05,108.722
2000-05-12,154.361,2000-05-12,14.1632,2000-05-12,32724200,2000-05-12,402.186,2000-05-12,0.735,2000-05-12,5743.7189,2000-05-12,0.0,2000-05-12,329.139,2000-05-12,108.722
2000-05-19,154.361,2000-05-19,14.4421,2000-05-19,35764400,2000-05-19,403.354,2000-05-19,0.735,2000-05-19,5873.8427,2000-05-19,0.0,2000-05-19,329.139,2000-05-19,108.722
2000-05-26,154.361,2000-05-26,16.5186,2000-05-26,73276600,2000-05-26,403.354,2000-05-26,0.735,2000-05-26,6718.3651,2000-05-26,0.0,2000-05-26,329.139,2000-05-26,108.722
2000-06-02,154.361,2000-06-02,20.2996,2000-06-02,19215600,2000-06-02,403.354,2000-06-02,0.735,2000-06-02,8256.1523,2000-06-02,0.0,2000-06-02,329.139,2000-06-02,108.722
2000-06-09,154.361,2000-06-09,19.1219,2000-06-09,32556400,2000-06-09,403.354,2000-06-09,0.735,2000-06-09,7777.1694,2000-06-09,0.0,2000-06-09,329.139,2000-06-09,108.722
2000-06-16,154.361,2000-06-16,18.9437,2000-06-16,19636400,2000-06-16,406.8808,2000-06-16,0.735,2000-06-16,7772.059,2000-06-16,0.0,2000-06-16,329.139,2000-06-16,108.722
2000-06-23,154.361,2000-06-23,18.3471,2000-06-23,17464600,2000-06-23,406.8808,2000-06-23,0.735,2000-06-23,7527.2948,2000-06-23,0.0,2000-06-23,329.139,2000-06-23,108.722
2000-06-30,154.361,2000-06-30,20.5165,2000-06-30,32280400,2000-06-30,406.8808,2000-06-30,0.735,2000-06-30,8417.3465,2000-06-30,0.0,2000-06-30,329.139,2000-06-30,108.722
2000-07-07,154.361,2000-07-07,22.0351,2000-07-07,16989200,2000-07-07,406.8808,2000-07-07,0.735,2000-07-07,9040.3827,2000-07-07,0.0,2000-07-07,329.139,2000-07-07,108.722
2000-07-14,154.361,2000-07-14,20.9504,2000-07-14,23341000,2000-07-14,406.8808,2000-07-14,0.735,2000-07-14,8595.3569,2000-07-14,0.0,2000-07-14,329.139,2000-07-14,108.722
2000-07-21,154.361,2000-07-21,18.781,2000-07-21,19568200,2000-07-21,406.8808,2000-07-21,0.735,2000-07-21,7705.3051,2000-07-21,0.0,2000-07-21,329.139,2000-07-21,108.722
2000-07-28,154.361,2000-07-28,16.4256,2000-07-28,18039400,2000-07-28,406.8808,2000-07-28,0.735,2000-07-28,6738.9632,2000-07-28,0.0,2000-07-28,329.139,2000-07-28,108.722
2000-08-04,-252.792,2000-08-04,61.9048,2000-08-04,29992000,2000-08-04,406.8808,2000-08-04,0.04,2000-08-04,7934.1756,2000-08-04,0.0,2000-08-04,162.259,2000-08-04,22.446
2000-08-11,-252.792,2000-08-11,64.881,2000-08-11,13299400,2000-08-11,406.8808,2000-08-11,0.04,2000-08-11,8315.6263,2000-08-11,0.0,2000-08-11,162.259,2000-08-11,22.446
2000-08-18,-252.792,2000-08-18,74.504,2000-08-18,19435200,2000-08-18,406.8808,2000-08-18,0.04,2000-08-18,9548.9837,2000-08-18,0.0,2000-08-18,162.259,2000-08-18,22.446
2000-08-25,-252.792,2000-08-25,87.2024,2000-08-25,64301800,2000-08-25,406.8808,2000-08-25,0.04,2000-08-25,11176.5069,2000-08-25,0.0,2000-08-25,162.259,2000-08-25,22.446
2000-09-01,-252.792,2000-09-01,93.5516,2000-09-01,29906000,2000-09-01,406.8808,2000-09-01,0.04,2000-09-01,11990.2685,2000-09-01,0.0,2000-09-01,162.259,2000-09-01,22.446
2000-09-08,-252.792,2000-09-08,94.8413,2000-09-08,15883800,2000-09-08,406.8808,2000-09-08,0.04,2000-09-08,12155.5639,2000-09-08,0.0,2000-09-08,162.259,2000-09-08,22.446
2000-09-15,-252.792,2000-09-15,89.3849,2000-09-15,22037800,2000-09-15,406.8808,2000-09-15,0.04,2000-09-15,11456.2375,2000-09-15,0.0,2000-09-15,162.259,2000-09-15,22.446
2000-09-22,-252.792,2000-09-22,83.3333,2000-09-22,23705600,2000-09-22,406.8808,2000-09-22,0.04,2000-09-22,10680.621,2000-09-22,0.0,2000-09-22,162.259,2000-09-22,22.446
2000-09-29,-252.792,2000-09-29,90.4762,2000-09-29,20178000,2000-09-29,406.8808,2000-09-29,0.04,2000-09-29,11596.1028,2000-09-29,0.0,2000-09-29,162.259,2000-09-29,22.446
2000-10-06,-252.792,2000-10-06,85.5159,2000-10-06,17123000,2000-10-06,406.8808,2000-10-06,0.04,2000-10-06,10960.3515,2000-10-06,0.0,2000-10-06,162.259,2000-10-06,22.446
2000-10-13,-252.792,2000-10-13,74.1071,2000-10-13,22548000,2000-10-13,406.8808,2000-10-13,0.04,2000-10-13,9498.1236,2000-10-13,0.0,2000-10-13,162.259,2000-10-13,22.446
2000-10-20,-252.792,2000-10-20,84.3254,2000-10-20,23800000,2000-10-20,406.8808,2000-10-20,0.04,2000-10-20,10807.7712,2000-10-20,0.0,2000-10-20,162.259,2000-10-20,22.446
2000-10-27,-252.792,2000-10-27,88.0952,2000-10-27,18282600,2000-10-27,412.56219,2000-10-27,0.04,2000-10-27,11448.6009,2000-10-27,0.0,2000-10-27,162.259,2000-10-27,22.446
2000-11-03,-44.581,2000-11-03,95.8333,2000-11-03,46892000,2000-11-03,412.69559,2000-11-03,-0.08,2000-11-03,13051.4979,2000-11-03,0.0,2000-11-03,170.829,2000-11-03,-33.446
2000-11-10,-44.581,2000-11-10,92.2348,2000-11-10,26975200,2000-11-10,412.69559,2000-11-10,-0.08,2000-11-10,12561.4219,2000-11-10,0.0,2000-11-10,170.829,2000-11-10,-33.446
2000-11-17,-44.581,2000-11-17,92.9924,2000-11-17,27757800,2000-11-17,412.69559,2000-11-17,-0.08,2000-11-17,12664.5958,2000-11-17,0.0,2000-11-17,170.829,2000-11-17,-33.446
2000-11-24,-44.581,2000-11-24,69.3182,2000-11-24,36425200,2000-11-24,412.69559,2000-11-24,-0.08,2000-11-24,9440.4116,2000-11-24,0.0,2000-11-24,170.829,2000-11-24,-33.446
2000-12-01,-44.581,2000-12-01,69.7917,2000-12-01,28892600,2000-12-01,412.69559,2000-12-01,-0.08,2000-12-01,9504.8952,2000-12-01,0.0,2000-12-01,170.829,2000-12-01,-33.446
2000-12-08,-44.581,2000-12-08,74.4318,2000-12-08,125422200,2000-12-08,412.69559,2000-12-08,-0.08,2000-12-08,10136.8354,2000-12-08,0.0,2000-12-08,170.829,2000-12-08,-33.446
2000-12-15,-44.581,2000-12-15,73.1061,2000-12-15,42765200,2000-12-15,413.82581,2000-12-15,-0.08,2000-12-15,9983.5476,2000-12-15,0.0,2000-12-15,170.829,2000-12-15,-33.446
2000-12-22,-44.581,2000-12-22,53.4091,2000-12-22,37514800,2000-12-22,413.82581,2000-12-22,-0.08,2000-12-22,7293.6798,2000-12-22,0.0,2000-12-22,170.829,2000-12-22,-33.446
2000-12-29,-44.581,2000-12-29,59.7538,2000-12-29,29143400,2000-12-29,413.82581,2000-12-29,-0.08,2000-12-29,8160.1276,2000-12-29,0.0,2000-12-29,170.829,2000-12-29,-33.446
2001-01-05,-44.581,2001-01-05,54.9242,2001-01-05,32713000,2001-01-05,413.82581,2001-01-05,-0.08,2001-01-05,7500.5927,2001-01-05,0.0,2001-01-05,170.829,2001-01-05,-33.446
2001-01-12,-44.581,2001-01-12,51.6098,2001-01-12,44693000,2001-01-12,413.82581,2001-01-12,-0.08,2001-01-12,7047.9708,2001-01-12,0.0,2001-01-12,170.829,2001-01-12,-33.446
2001-01-19,-44.581,2001-01-19,54.5455,2001-01-19,27464600,2001-01-19,413.82581,2001-01-19,-0.08,2001-01-19,7448.8645,2001-01-19,0.0,2001-01-19,170.829,2001-01-19,-33.446
