date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,-7570.0,2000-01-07,11.6779,2000-01-07,7959400,2000-01-07,441.42191,2000-01-07,1.51,2000-01-07,40621.2908,2000-01-07,0.12,2000-01-07,6712.0,2000-01-07,4556.0
2000-01-14,-7570.0,2000-01-14,12.111,2000-01-14,3845800,2000-01-14,441.42191,2000-01-14,1.51,2000-01-14,42128.0609,2000-01-14,0.12,2000-01-14,6712.0,2000-01-14,4556.0
2000-01-21,-7570.0,2000-01-21,12.1199,2000-01-21,2898900,2000-01-21,441.42191,2000-01-21,1.51,2000-01-21,42158.8113,2000-01-21,0.12,2000-01-21,6712.0,2000-01-21,4556.0
2000-01-28,-7570.0,2000-01-28,12.3055,2000-01-28,4027600,2000-01-28,441.42191,2000-01-28,1.51,2000-01-28,42804.5699,2000-01-28,0.12,2000-01-28,6712.0,2000-01-28,4556.0
2000-02-04,-7570.0,2000-02-04,11.9784,2000-02-04,6244600,2000-02-04,441.42191,2000-02-04,1.51,2000-02-04,41666.8048,2000-02-04,0.12,2000-02-04,6712.0,2000-02-04,4556.0
2000-02-11,-7570.0,2000-02-11,12.0403,2000-02-11,3711800,2000-02-11,441.42191,2000-02-11,1.51,2000-02-11,41882.0576,2000-02-11,0.12,2000-02-11,6712.0,2000-02-11,4556.0
2000-02-18,-7570.0,2000-02-18,11.4303,2000-02-18,3711500,2000-02-18,441.42938,2000-02-18,1.51,2000-02-18,39760.8836,2000-02-18,0.12,2000-02-18,6712.0,2000-02-18,4556.0
2000-02-25,-5209.0,2000-02-25,13.2615,2000-02-25,3955800,2000-02-25,441.42938,2000-02-25,1.83,2000-02-25,43910.6903,2000-02-25,0.12,2000-02-25,7964.0,2000-02-25,5051.0
2000-03-03,-5209.0,2000-03-03,15.2303,2000-03-03,7503200,2000-03-03,441.42938,2000-03-03,1.83,2000-03-03,50429.6443,2000-03-03,0.12,2000-03-03,7964.0,2000-03-03,5051.0
2000-03-10,-5209.0,2000-03-10,16.679,2000-03-10,6073300,2000-03-10,441.42938,2000-03-10,1.83,2000-03-10,55226.6104,2000-03-10,0.12,2000-03-10,7964.0,2000-03-10,5051.0
2000-03-17,-5209.0,2000-03-17,17.3105,2000-03-17,6959400,2000-03-17,441.42938,2000-03-17,1.83,2000-03-17,57317.5957,2000-03-17,0.12,2000-03-17,7964.0,2000-03-17,5051.0
2000-03-24,-5209.0,2000-03-24,18.0256,2000-03-24,9797000,2000-03-24,441.42938,2000-03-24,1.83,2000-03-24,59685.329,2000-03-24,0.12,2000-03-24,7964.0,2000-03-24,5051.0
2000-03-31,-5209.0,2000-03-31,15.6389,2000-03-31,6653200,2000-03-31,441.42938,2000-03-31,1.83,2000-03-31,51782.6347,2000-03-31,0.12,2000-03-31,7964.0,2000-03-31,5051.0
2000-04-07,-5209.0,2000-04-07,15.2303,2000-04-07,11773400,2000-04-07,441.48639,2000-04-07,1.83,2000-04-07,50435.4875,2000-04-07,0.12,2000-04-07,7964.0,2000-04-07,5051.0
2000-04-14,-5209.0,2000-04-14,12.2957,2000-04-14,13730100,2000-04-14,441.48639,2000-04-14,1.83,2000-04-14,40717.4301,2000-04-14,0.12,2000-04-14,7964.0,2000-04-14,5051.0
2000-04-21,-5209.0,2000-04-21,13.1965,2000-04-21,8137400,2000-04-21,441.48639,2000-04-21,1.83,2000-04-21,43700.5047,2000-04-21,0.12,2000-04-21,7964.0,2000-04-21,5051.0
2000-04-28,-5209.0,2000-04-28,13.8559,2000-04-28,7649900,2000-04-28,441.48639,2000-04-28,1.83,2000-04-28,45883.9923,2000-04-28,0.12,2000-04-28,7964.0,2000-04-28,5051.0
2000-05-05,-5209.0,2000-05-05,13.3544,2000-05-05,8215600,2000-05-05,441.48639,2000-05-05,1.83,2000-05-05,44223.3116,2000-05-05,0.12,2000-05-05,7964.0,2000-05-05,5051.0
2000-05-12,-5209.0,2000-05-12,12.4478,2000-05-12,11083900,2000-05-12,441.48639,2000-05-12,1.83,2000-05-12,41221.0162,2000-05-12,0.12,2000-05-12,7964.0,2000-05-12,5051.0
2000-05-19,-5209.0,2000-05-19,12.565,2000-05-19,8468800,2000-05-19,441.48599,2000-05-19,1.83,2000-05-19,41609.2436,2000-05-19,0.12,2000-05-19,7964.0,2000-05-19,5051.0
2000-05-26,-5129.0,2000-05-26,11.4447,2000-05-26,10488000,2000-05-26,441.48599,2000-05-26,1.56,2000-05-26,34349.1703,2000-05-26,0.12,2000-05-26,8196.0,2000-05-26,5401.0
2000-06-02,-5129.0,2000-06-02,14.2418,2000-06-02,8821900,2000-06-02,441.48599,2000-06-02,1.56,2000-06-02,42744.2674,2000-06-02,0.12,2000-06-02,8196.0,2000-06-02,5401.0
2000-06-09,-5129.0,2000-06-09,13.6475,2000-06-09,6191500,2000-06-09,441.48599,2000-06-09,1.56,2000-06-09,40960.6937,2000-06-09,0.12,2000-06-09,8196.0,2000-06-09,5401.0
2000-06-16,-5129.0,2000-06-16,14.7439,2000-06-16,7372800,2000-06-16,441.48599,2000-06-16,1.56,2000-06-16,44251.0798,2000-06-16,0.12,2000-06-16,8196.0,2000-06-16,5401.0
2000-06-23,-5129.0,2000-06-23,14.0984,2000-06-23,10427500,2000-06-23,441.48599,2000-06-23,1.56,2000-06-23,42313.7496,2000-06-23,0.12,2000-06-23,8196.0,2000-06-23,5401.0
2000-06-30,-5129.0,2000-06-30,15.5366,2000-06-30,7457800,2000-06-30,441.48599,2000-06-30,1.56,2000-06-30,46630.4594,2000-06-30,0.12,2000-06-30,8196.0,2000-06-30,5401.0
2000-07-07,-5129.0,2000-07-07,15.5635,2000-07-07,6138800,2000-07-07,447.172,2000-07-07,1.56,2000-07-07,47250.9965,2000-07-07,0.12,2000-07-07,8196.0,2000-07-07,5401.0
2000-07-14,-5129.0,2000-07-14,17.0799,2000-07-14,8849100,2000-07-14,447.172,2000-07-14,1.56,2000-07-14,51854.7803,2000-07-14,0.12,2000-07-14,8196.0,2000-07-14,5401.0
2000-07-21,-5129.0,2000-07-21,17.0902,2000-07-21,6731900,2000-07-21,447.172,2000-07-21,1.56,2000-07-21,51885.8869,2000-07-21,0.12,2000-07-21,8196.0,2000-07-21,5401.0
2000-07-28,-5129.0,2000-07-28,16.1475,2000-07-28,6467600,2000-07-28,447.172,2000-07-28,1.56,2000-07-28,49024.0754,2000-07-28,0.12,2000-07-28,8196.0,2000-07-28,5401.0
2000-08-04,-5129.0,2000-08-04,18.2377,2000-08-04,23305700,2000-08-04,447.172,2000-08-04,1.56,2000-08-04,55369.8314,2000-08-04,0.12,2000-08-04,8196.0,2000-08-04,5401.0
2000-08-11,-5129.0,2000-08-11,19.6516,2000-08-11,8609600,2000-08-11,447.172,2000-08-11,1.56,2000-08-11,59662.5486,2000-08-11,0.12,2000-08-11,8196.0,2000-08-11,5401.0
2000-08-18,-5129.0,2000-08-18,19.1803,2000-08-18,8825900,2000-08-18,447.172,2000-08-18,1.56,2000-08-18,58231.6429,2000-08-18,0.12,2000-08-18,8196.0,2000-08-18,5401.0
2000-08-25,4323.0,2000-08-25,18.6523,2000-08-25,6945200,2000-08-25,447.172,2000-08-25,1.71,2000-08-25,56452.3824,2000-08-25,0.12,2000-08-25,8851.0,2000-08-25,5816.0
2000-09-01,4323.0,2000-09-01,20.2539,2000-09-01,8442100,2000-09-01,447.172,2000-09-01,1.71,2000-09-01,61299.6026,2000-09-01,0.12,2000-09-01,8851.0,2000-09-01,5816.0
2000-09-08,4323.0,2000-09-08,19.4141,2000-09-08,5694200,2000-09-08,447.172,2000-09-08,1.71,2000-09-08,58757.7676,2000-09-08,0.12,2000-09-08,8851.0,2000-09-08,5816.0
2000-09-15,4323.0,2000-09-15,19.5117,2000-09-15,8780100,2000-09-15,447.172,2000-09-15,1.71,2000-09-15,59053.3298,2000-09-15,0.12,2000-09-15,8851.0,2000-09-15,5816.0
2000-09-22,4323.0,2000-09-22,17.9492,2000-09-22,12471500,2000-09-22,447.172,2000-09-22,1.71,2000-09-22,54324.3344,2000-09-22,0.12,2000-09-22,8851.0,2000-09-22,5816.0
2000-09-29,4323.0,2000-09-29,17.8223,2000-09-29,9465000,2000-09-29,447.172,2000-09-29,1.71,2000-09-29,53940.1036,2000-09-29,0.12,2000-09-29,8851.0,2000-09-29,5816.0
2000-10-06,4323.0,2000-10-06,17.0117,2000-10-06,9998200,2000-10-06,447.172,2000-10-06,1.71,2000-10-06,51486.9372,2000-10-06,0.12,2000-10-06,8851.0,2000-10-06,5816.0
2000-10-13,4323.0,2000-10-13,15.8594,2000-10-13,16388500,2000-10-13,454.23599,2000-10-13,1.71,2000-10-13,48716.2986,2000-10-13,0.12,2000-10-13,8851.0,2000-10-13,5816.0
2000-10-20,4323.0,2000-10-20,16.3965,2000-10-20,14043500,2000-10-20,454.23599,2000-10-20,1.71,2000-10-20,50366.1733,2000-10-20,0.12,2000-10-20,8851.0,2000-10-20,5816.0
2000-10-27,4323.0,2000-10-27,14.5313,2000-10-27,10540200,2000-10-27,454.23599,2000-10-27,1.71,2000-10-27,44636.6086,2000-10-27,0.12,2000-10-27,8851.0,2000-10-27,5816.0
2000-11-03,4323.0,2000-11-03,15.6934,2000-11-03,8926600,2000-11-03,454.23599,2000-11-03,1.71,2000-11-03,48206.3374,2000-11-03,0.12,2000-11-03,8851.0,2000-11-03,5816.0
2000-11-10,4323.0,2000-11-10,13.9355,2000-11-10,10185000,2000-11-10,454.23599,2000-11-10,1.71,2000-11-10,42806.7476,2000-11-10,0.12,2000-11-10,8851.0,2000-11-10,5816.0
