date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2002-03-29,6.41,2002-03-29,,2002-03-29,,2002-03-29,,2002-03-29,,2002-05-24,345.8552,2002-05-24,,2002-03-29,30.527,2002-03-29,1.026
2002-04-05,6.41,2002-04-05,,2002-04-05,,2002-04-05,,2002-04-05,,2002-05-31,310.6168,2002-05-31,,2002-04-05,30.527,2002-04-05,1.026
2002-04-12,6.41,2002-04-12,,2002-04-12,,2002-04-12,,2002-04-12,,2002-06-07,322.7777,2002-06-07,,2002-04-12,30.527,2002-04-12,1.026
2002-04-19,6.41,2002-04-19,,2002-04-19,,2002-04-19,,2002-04-19,,2002-06-14,296.0173,2002-06-14,,2002-04-19,30.527,2002-04-19,1.026
2002-04-26,6.41,2002-04-26,,2002-04-26,,2002-04-26,,2002-04-26,,2002-06-21,293.8738,2002-06-21,,2002-04-26,30.527,2002-04-26,1.026
2002-05-03,6.41,2002-05-03,,2002-05-03,,2002-05-03,,2002-05-03,,2002-06-28,299.8756,2002-06-28,0.0,2002-05-03,30.527,2002-05-03,1.026
2002-05-10,6.41,2002-05-10,,2002-05-10,,2002-05-10,,2002-05-10,,2002-07-05,383.0434,2002-07-05,0.0,2002-05-10,30.527,2002-05-10,1.026
2002-05-17,6.41,2002-05-17,,2002-05-17,,2002-05-17,,2002-05-17,,2002-07-12,362.4658,2002-07-12,0.0,2002-05-17,30.527,2002-05-17,1.026
2002-05-24,6.41,2002-05-24,,2002-05-24,115894800.0,2002-05-24,289.07302,2002-05-24,,2002-07-19,348.1044,2002-07-19,0.0,2002-05-24,30.527,2002-05-24,1.026
2002-05-31,6.41,2002-05-31,,2002-05-31,31985800.0,2002-05-31,288.56241,2002-05-31,,2002-07-26,261.507,2002-07-26,0.0,2002-05-31,30.527,2002-05-31,1.026
2002-06-07,6.41,2002-06-07,,2002-06-07,11463200.0,2002-06-07,288.56241,2002-06-07,,2002-08-02,233.4271,2002-08-02,0.0,2002-06-07,30.527,2002-06-07,1.026
2002-06-14,6.41,2002-06-14,,2002-06-14,10638600.0,2002-06-14,300.08999,2002-06-14,,2002-08-09,236.2137,2002-08-09,0.0,2002-06-14,30.527,2002-06-14,1.026
2002-06-21,6.41,2002-06-21,,2002-06-21,29603000.0,2002-06-21,300.08999,2002-06-21,,2002-08-16,273.9393,2002-08-16,0.0,2002-06-21,30.527,2002-06-21,1.026
2002-06-28,7.367,2002-06-28,,2002-06-28,23296000.0,2002-06-28,300.08999,2002-06-28,-0.0914,2002-08-23,306.5945,2002-08-23,0.0,2002-06-28,36.36,2002-06-28,4.027
2002-07-05,7.367,2002-07-05,,2002-07-05,20566000.0,2002-07-05,300.08999,2002-07-05,-0.0914,2002-08-30,288.9614,2002-08-30,0.0,2002-07-05,36.36,2002-07-05,4.027
2002-07-12,7.367,2002-07-12,,2002-07-12,11810400.0,2002-07-12,300.08999,2002-07-12,-0.0914,2002-09-06,282.1286,2002-09-06,0.0,2002-07-12,36.36,2002-07-12,4.027
2002-07-19,7.367,2002-07-19,,2002-07-19,12136600.0,2002-07-19,300.08999,2002-07-19,-0.0914,2002-09-13,271.108,2002-09-13,0.0,2002-07-19,36.36,2002-07-19,4.027
2002-07-26,7.367,2002-07-26,,2002-07-26,18735192.0,2002-07-26,300.08999,2002-07-26,-0.0914,2002-09-20,218.6277,2002-09-20,0.0,2002-07-26,36.36,2002-07-26,4.027
2002-08-02,7.367,2002-08-02,,2002-08-02,21558698.0,2002-08-02,300.08999,2002-08-02,-0.0914,2002-09-27,222.1763,2002-09-27,0.0,2002-08-02,36.36,2002-08-02,4.027
2002-08-09,7.367,2002-08-09,,2002-08-09,13568800.0,2002-08-09,300.08999,2002-08-09,-0.0914,2002-10-04,144.6571,2002-10-04,0.0,2002-08-09,36.36,2002-08-09,4.027
2002-08-16,7.367,2002-08-16,,2002-08-16,12948082.0,2002-08-16,300.08999,2002-08-16,-0.0914,2002-10-11,145.2522,2002-10-11,0.0,2002-08-16,36.36,2002-08-16,4.027
2002-08-23,7.367,2002-08-23,,2002-08-23,12767188.0,2002-08-23,308.5782,2002-08-23,-0.0914,2002-10-18,210.7148,2002-10-18,0.0,2002-08-23,36.36,2002-08-23,4.027
2002-08-30,7.367,2002-08-30,,2002-08-30,14422800.0,2002-08-30,308.5782,2002-08-30,-0.0914,2002-10-25,198.3717,2002-10-25,0.0,2002-08-30,36.36,2002-08-30,4.027
2002-09-06,7.367,2002-09-06,,2002-09-06,3020080.0,2002-09-06,308.5782,2002-09-06,-0.0914,2002-11-01,197.0492,2002-11-01,0.0,2002-09-06,36.36,2002-09-06,4.027
2002-09-13,7.367,2002-09-13,,2002-09-13,12232808.0,2002-09-13,308.5782,2002-09-13,-0.0914,2002-11-08,188.4531,2002-11-08,0.0,2002-09-13,36.36,2002-09-13,4.027
2002-09-20,7.367,2002-09-20,,2002-09-20,16362640.0,2002-09-20,308.5782,2002-09-20,-0.0914,2002-11-15,201.3575,2002-11-15,0.0,2002-09-20,36.36,2002-09-20,4.027
2002-09-27,7.367,2002-09-27,,2002-09-27,19324326.0,2002-09-27,308.5782,2002-09-27,-0.0914,2002-11-22,243.6205,2002-11-22,0.0,2002-09-27,36.36,2002-09-27,4.027
2002-10-04,10.355,2002-10-04,,2002-10-04,36278326.0,2002-10-04,308.5782,2002-10-04,-0.0093,2002-11-29,240.0801,2002-11-29,0.0,2002-10-04,40.731,2002-10-04,6.239
2002-10-11,10.355,2002-10-11,,2002-10-11,53120242.0,2002-10-11,308.5782,2002-10-11,-0.0093,2002-12-06,242.315,2002-12-06,0.0,2002-10-11,40.731,2002-10-11,6.239
2002-10-18,10.355,2002-10-18,,2002-10-18,47630660.0,2002-10-18,308.5782,2002-10-18,-0.0093,2002-12-13,276.59,2002-12-13,0.0,2002-10-18,40.731,2002-10-18,6.239
2002-10-25,10.355,2002-10-25,,2002-10-25,26381796.0,2002-10-25,308.5782,2002-10-25,-0.0093,2002-12-20,236.761,2002-12-20,0.0,2002-10-25,40.731,2002-10-25,6.239
2002-11-01,10.355,2002-11-01,,2002-11-01,12872314.0,2002-11-01,308.5782,2002-11-01,-0.0093,2002-12-27,213.97,2002-12-27,0.0,2002-11-01,40.731,2002-11-01,6.239
2002-11-08,10.355,2002-11-08,,2002-11-08,19413478.0,2002-11-08,308.5782,2002-11-08,-0.0093,2003-01-03,239.4163,2003-01-03,0.0,2002-11-08,40.731,2002-11-08,6.239
