date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,931.0,2000-01-07,151.25,2000-01-07,282915400,2000-01-07,6630.0,2000-01-07,0.065,2000-01-07,350975.625,2000-01-07,0.0,2000-01-07,3918.0,2000-01-07,1179.0
2000-01-14,931.0,2000-01-14,153.6607,2000-01-14,212672600,2000-01-14,6630.0,2000-01-14,0.065,2000-01-14,356569.6875,2000-01-14,0.0,2000-01-14,3918.0,2000-01-14,1179.0
2000-01-21,931.0,2000-01-21,164.6429,2000-01-21,191862200,2000-01-21,6630.0,2000-01-21,0.065,2000-01-21,382053.75,2000-01-21,0.0,2000-01-21,3918.0,2000-01-21,1179.0
2000-01-28,1352.0,2000-01-28,140.3716,2000-01-28,231961800,2000-01-28,6630.0,2000-01-28,0.12,2000-01-28,344345.625,2000-01-28,0.0,2000-01-28,4357.0,2000-01-28,1253.0
2000-02-04,1352.0,2000-02-04,163.6824,2000-02-04,324271000,2000-02-04,6630.0,2000-02-04,0.12,2000-02-04,401529.375,2000-02-04,0.0,2000-02-04,4357.0,2000-02-04,1253.0
2000-02-11,1352.0,2000-02-11,176.9426,2000-02-11,368640200,2000-02-11,6630.0,2000-02-11,0.12,2000-02-11,434057.8125,2000-02-11,0.0,2000-02-11,4357.0,2000-02-11,1253.0
2000-02-18,1352.0,2000-02-18,170.0169,2000-02-18,238001600,2000-02-18,6630.0,2000-02-18,0.12,2000-02-18,417068.4375,2000-02-18,0.0,2000-02-18,4357.0,2000-02-18,1253.0
2000-02-25,1352.0,2000-02-25,179.3919,2000-02-25,288281400,2000-02-25,6630.0,2000-02-25,0.12,2000-02-25,440066.25,2000-02-25,0.0,2000-02-25,4357.0,2000-02-25,1253.0
2000-03-03,1352.0,2000-03-03,185.7264,2000-03-03,203202200,2000-03-03,6630.0,2000-03-03,0.12,2000-03-03,455605.3125,2000-03-03,0.0,2000-03-03,4357.0,2000-03-03,1253.0
2000-03-10,1352.0,2000-03-10,184.2905,2000-03-10,239403800,2000-03-10,6630.0,2000-03-10,0.12,2000-03-10,452083.125,2000-03-10,0.0,2000-03-10,4357.0,2000-03-10,1253.0
2000-03-17,1352.0,2000-03-17,182.4324,2000-03-17,297572000,2000-03-17,6890.0,2000-03-17,0.12,2000-03-17,465075.0,2000-03-17,0.0,2000-03-17,4357.0,2000-03-17,1253.0
2000-03-24,1352.0,2000-03-24,214.527,2000-03-24,297563504,2000-03-24,6890.0,2000-03-24,0.12,2000-03-24,546893.75,2000-03-24,0.0,2000-03-24,4357.0,2000-03-24,1253.0
2000-03-31,1352.0,2000-03-31,208.9527,2000-03-31,265089200,2000-03-31,6890.0,2000-03-31,0.12,2000-03-31,532683.125,2000-03-31,0.0,2000-03-31,4357.0,2000-03-31,1253.0
2000-04-07,1352.0,2000-04-07,202.5338,2000-04-07,331222100,2000-04-07,6890.0,2000-04-07,0.12,2000-04-07,516319.375,2000-04-07,0.0,2000-04-07,4357.0,2000-04-07,1253.0
2000-04-14,1352.0,2000-04-14,154.0541,2000-04-14,418866388,2000-04-14,6890.0,2000-04-14,0.12,2000-04-14,392730.0,2000-04-14,0.0,2000-04-14,4357.0,2000-04-14,1253.0
2000-04-21,1352.0,2000-04-21,176.0135,2000-04-21,286093408,2000-04-21,6890.0,2000-04-21,0.12,2000-04-21,448711.25,2000-04-21,0.0,2000-04-21,4357.0,2000-04-21,1253.0
2000-04-28,1528.0,2000-04-28,195.2905,2000-04-28,250239000,2000-04-28,6890.0,2000-04-28,0.09,2000-04-28,477670.7813,2000-04-28,0.0,2000-04-28,4933.0,2000-04-28,1361.0
2000-05-05,1528.0,2000-05-05,190.8451,2000-05-05,204401000,2000-05-05,6890.0,2000-05-05,0.09,2000-05-05,466797.5,2000-05-05,0.0,2000-05-05,4933.0,2000-05-05,1361.0
2000-05-12,1528.0,2000-05-12,168.838,2000-05-12,327919900,2000-05-12,6890.0,2000-05-12,0.09,2000-05-12,412969.375,2000-05-12,0.0,2000-05-12,4933.0,2000-05-12,1361.0
2000-05-19,1528.0,2000-05-19,150.5282,2000-05-19,303179204,2000-05-19,6937.63037,2000-05-19,0.09,2000-05-19,370729.623,2000-05-19,0.0,2000-05-19,4933.0,2000-05-19,1361.0
2000-05-26,1528.0,2000-05-26,154.7535,2000-05-26,369887812,2000-05-26,6937.63037,2000-05-26,0.09,2000-05-26,381136.0685,2000-05-26,0.0,2000-05-26,4933.0,2000-05-26,1361.0
2000-06-02,1528.0,2000-06-02,181.338,2000-06-02,215064500,2000-06-02,6937.63037,2000-06-02,0.09,2000-06-02,446609.9551,2000-06-02,0.0,2000-06-02,4933.0,2000-06-02,1361.0
2000-06-09,1528.0,2000-06-09,181.338,2000-06-09,160536300,2000-06-09,6937.63037,2000-06-09,0.09,2000-06-09,446609.9551,2000-06-09,0.0,2000-06-09,4933.0,2000-06-09,1361.0
2000-06-16,1528.0,2000-06-16,191.0211,2000-06-16,178076300,2000-06-16,7023.85254,2000-06-16,0.09,2000-06-16,476305.0003,2000-06-16,0.0,2000-06-16,4933.0,2000-06-16,1361.0
2000-06-23,1528.0,2000-06-23,176.4085,2000-06-23,148858400,2000-06-23,7023.85254,2000-06-23,0.09,2000-06-23,439868.7653,2000-06-23,0.0,2000-06-23,4933.0,2000-06-23,1361.0
2000-06-30,1528.0,2000-06-30,179.0493,2000-06-30,172143000,2000-06-30,7023.85254,2000-06-30,0.09,2000-06-30,446453.627,2000-06-30,0.0,2000-06-30,4933.0,2000-06-30,1361.0
2000-07-07,1528.0,2000-07-07,184.1549,2000-07-07,107021600,2000-07-07,7023.85254,2000-07-07,0.09,2000-07-07,459184.3597,2000-07-07,0.0,2000-07-07,4933.0,2000-07-07,1361.0
2000-07-14,1528.0,2000-07-14,192.2535,2000-07-14,211733200,2000-07-14,7023.85254,2000-07-14,0.09,2000-07-14,479377.9358,2000-07-14,0.0,2000-07-14,4933.0,2000-07-14,1361.0
2000-07-21,1528.0,2000-07-21,191.9014,2000-07-21,168634000,2000-07-21,7023.85254,2000-07-21,0.09,2000-07-21,478499.9542,2000-07-21,0.0,2000-07-21,4933.0,2000-07-21,1361.0
2000-07-28,1244.0,2000-07-28,167.2489,2000-07-28,197874100,2000-07-28,7023.85254,2000-07-28,0.1156,2000-07-28,441185.7376,2000-07-28,0.0,2000-07-28,5720.0,2000-07-28,1678.0
2000-08-04,1244.0,2000-08-04,174.5712,2000-08-04,234293400,2000-08-04,7023.85254,2000-08-04,0.1156,2000-08-04,460501.3321,2000-08-04,0.0,2000-08-04,5720.0,2000-08-04,1678.0
2000-08-11,1244.0,2000-08-11,171.2429,2000-08-11,288828700,2000-08-11,7023.85254,2000-08-11,0.1156,2000-08-11,451721.5164,2000-08-11,0.0,2000-08-11,5720.0,2000-08-11,1678.0
2000-08-18,1244.0,2000-08-18,169.0795,2000-08-18,174472500,2000-08-18,7023.85303,2000-08-18,0.1156,2000-08-18,446014.6672,2000-08-18,0.0,2000-08-18,5720.0,2000-08-18,1678.0
2000-08-25,1244.0,2000-08-25,174.4048,2000-08-25,174528300,2000-08-25,7023.85254,2000-08-25,0.1156,2000-08-25,460062.3413,2000-08-25,0.0,2000-08-25,5720.0,2000-08-25,1678.0
2000-09-01,1244.0,2000-09-01,182.5593,2000-09-01,155738600,2000-09-01,7001.0,2000-09-01,0.1156,2000-09-01,480006.0625,2000-09-01,0.0,2000-09-01,5720.0,2000-09-01,1678.0
2000-09-08,1244.0,2000-09-08,170.078,2000-09-08,135955500,2000-09-08,7001.0,2000-09-08,0.1156,2000-09-08,447188.875,2000-09-08,0.0,2000-09-08,5720.0,2000-09-08,1678.0
2000-09-15,1244.0,2000-09-15,167.0825,2000-09-15,329817492,2000-09-15,7001.0,2000-09-15,0.1156,2000-09-15,439312.75,2000-09-15,0.0,2000-09-15,5720.0,2000-09-15,1678.0
2000-09-22,1244.0,2000-09-22,160.5922,2000-09-22,276634500,2000-09-22,7001.0,2000-09-22,0.1156,2000-09-22,422247.8125,2000-09-22,0.0,2000-09-22,5720.0,2000-09-22,1678.0
2000-09-29,1244.0,2000-09-29,147.1125,2000-09-29,323527696,2000-09-29,7041.9917,2000-09-29,0.1156,2000-09-29,389070.0414,2000-09-29,0.0,2000-09-29,5720.0,2000-09-29,1678.0
2000-10-06,1244.0,2000-10-06,149.6087,2000-10-06,300980000,2000-10-06,7041.9917,2000-10-06,0.1156,2000-10-06,395671.9086,2000-10-06,0.0,2000-10-06,5720.0,2000-10-06,1678.0
2000-10-13,1244.0,2000-10-13,149.2759,2000-10-13,353623900,2000-10-13,7041.99219,2000-10-13,0.1156,2000-10-13,394791.687,2000-10-13,0.0,2000-10-13,5720.0,2000-10-13,1678.0
2000-10-20,1244.0,2000-10-20,152.6042,2000-10-20,293255596,2000-10-20,7041.99219,2000-10-20,0.1156,2000-10-20,403594.1772,2000-10-20,0.0,2000-10-20,5720.0,2000-10-20,1678.0
2000-10-27,839.0,2000-10-27,120.523,2000-10-27,316036700,2000-10-27,7041.99219,2000-10-27,0.11,2000-10-27,356940.979,2000-10-27,0.0,2000-10-27,6519.0,2000-10-27,1845.0
2000-11-03,839.0,2000-11-03,134.9382,2000-11-03,393348496,2000-11-03,7041.99219,2000-11-03,0.11,2000-11-03,399633.0566,2000-11-03,0.0,2000-11-03,6519.0,2000-11-03,1845.0
2000-11-10,839.0,2000-11-10,119.0369,2000-11-10,357698600,2000-11-10,7041.99219,2000-11-10,0.11,2000-11-10,352539.7339,2000-11-10,0.0,2000-11-10,6519.0,2000-11-10,1845.0
2000-11-17,839.0,2000-11-17,125.4271,2000-11-17,268438200,2000-11-17,7041.99219,2000-11-17,0.11,2000-11-17,371465.0879,2000-11-17,0.0,2000-11-17,6519.0,2000-11-17,1845.0
2000-11-24,839.0,2000-11-24,125.2785,2000-11-24,178398100,2000-11-24,7197.1499,2000-11-24,0.11,2000-11-24,379199.8355,2000-11-24,0.0,2000-11-24,6519.0,2000-11-24,1845.0
2000-12-01,839.0,2000-12-01,115.3216,2000-12-01,333741900,2000-12-01,7197.1499,2000-12-01,0.11,2000-12-01,349061.7703,2000-12-01,0.0,2000-12-01,6519.0,2000-12-01,1845.0
2000-12-08,839.0,2000-12-08,124.5354,2000-12-08,378475500,2000-12-08,7197.1499,2000-12-08,0.11,2000-12-08,376950.7261,2000-12-08,0.0,2000-12-08,6519.0,2000-12-08,1845.0
2000-12-15,839.0,2000-12-15,114.5414,2000-12-15,333635000,2000-12-15,7197.1499,2000-12-15,0.11,2000-12-15,346700.2055,2000-12-15,0.0,2000-12-15,6519.0,2000-12-15,1845.0
2000-12-22,839.0,2000-12-22,98.6772,2000-12-22,578348800,2000-12-22,7197.1499,2000-12-22,0.11,2000-12-22,298681.7209,2000-12-22,0.0,2000-12-22,6519.0,2000-12-22,1845.0
2000-12-29,839.0,2000-12-29,90.9495,2000-12-29,216284000,2000-12-29,7197.1499,2000-12-29,0.11,2000-12-29,275290.9838,2000-12-29,0.0,2000-12-29,6519.0,2000-12-29,1845.0
2001-01-05,839.0,2001-01-05,87.0856,2001-01-05,520206600,2001-01-05,7197.1499,2001-01-05,0.11,2001-01-05,263595.6152,2001-01-05,0.0,2001-01-05,6519.0,2001-01-05,1845.0
2001-01-12,839.0,2001-01-12,90.5037,2001-01-12,587690900,2001-01-12,7197.1499,2001-01-12,0.11,2001-01-12,273941.5182,2001-01-12,0.0,2001-01-12,6519.0,2001-01-12,1845.0
2001-01-19,839.0,2001-01-19,96.0023,2001-01-19,275886800,2001-01-19,7197.1499,2001-01-19,0.11,2001-01-19,290584.9273,2001-01-19,0.0,2001-01-19,6519.0,2001-01-19,1845.0
